pid,label,rows,expected,n_groups,n_valid,sec,status,A-Day,A-Few-Days,A-Week,A-Few-Weeks,A-Month,A-Few-Months,A-Year,A-Few-Years,Many-Years
P1445,fictional universe described in,49,49,23,0,1.3,ok,0,0,0,0,0,0,0,0,0
P1786,posthumous name,49,49,29,0,1.6,ok,0,0,0,0,0,0,0,0,0
P2079,fabrication method,48,48,41,0,2.6,ok,0,0,0,0,0,0,0,0,0
P3335,associated hazard,49,49,49,0,1.3,ok,0,0,0,0,0,0,0,0,0
P1373,daily patronage,50,50,38,0,1.6,ok,0,0,0,0,0,0,0,0,0
P1542,has effect,54,50,27,0,2.1,ok,0,0,0,0,0,0,0,0,0
P6249,narrative age,38,38,17,0,1.3,ok,0,0,0,0,0,0,0,0,0
P12878,last appearance,51,51,51,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1303,instrument,52,52,36,0,6.6,ok,0,0,0,0,0,0,0,0,0
P2416,sports discipline competed in,47,47,36,0,5.0,ok,0,0,0,0,0,0,0,0,0
P3818,KMRB film rating,52,52,39,0,1.4,ok,0,0,0,0,0,0,0,0,0
P1113,number of episodes,53,53,47,0,6.1,ok,0,0,0,0,0,0,0,0,0
P1990,species kept,53,53,12,0,1.3,ok,0,0,0,0,0,0,0,0,0
P6477,does not have characteristic,53,53,10,0,1.4,ok,0,0,0,0,0,0,0,0,0
P822,mascot,54,54,41,0,1.5,ok,0,0,0,0,0,0,0,0,0
P520,armament,55,55,28,0,1.9,ok,0,0,0,0,0,0,0,0,0
P2049,width,54,54,31,0,8.9,ok,0,0,0,0,0,0,0,0,0
P2094,competition class,54,54,30,0,4.5,ok,0,0,0,0,0,0,0,0,0
P2846,disabled accessibility,56,56,51,0,2.3,ok,0,0,0,0,0,0,0,0,0
P832,public holiday,57,57,13,0,1.3,ok,0,0,0,0,0,0,0,0,0
P238,IATA airport code,57,57,55,0,2.0,ok,0,0,0,0,0,0,0,0,0
P170,creator,61,59,45,0,11.2,ok,0,0,0,0,0,0,0,0,0
P2715,elected in,62,62,62,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2923,focal height,61,61,56,0,1.7,ok,0,0,0,0,0,0,0,0,0
P1092,total produced,63,63,59,0,2.6,ok,0,0,0,0,0,0,0,0,0
P277,programmed in,55,55,36,0,2.9,ok,0,0,0,0,0,0,0,0,0
P2408,set in period,69,69,65,0,2.3,ok,0,0,0,0,0,0,0,0,0
P58,screenwriter,73,73,22,0,7.8,ok,0,0,0,0,0,0,0,0,0
P2817,appears in the heritage monument list,73,73,71,0,3.2,ok,0,0,0,0,0,0,0,0,0
P1630,formatter URL,70,70,49,0,1.1,ok,0,0,0,0,0,0,0,0,0
P184,doctoral advisor,57,57,51,0,5.9,ok,0,0,0,0,0,0,0,0,0
P1382,partially coincident with,77,77,44,0,3.0,ok,0,0,0,0,0,0,0,0,0
P1427,start point,77,77,74,0,3.8,ok,0,0,0,0,0,0,0,0,0
P5588,invasive to,77,77,67,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2738,disjoint union of,78,78,76,0,1.2,ok,0,0,0,0,0,0,0,0,0
P3403,coextensive with,78,78,76,0,2.8,ok,0,0,0,0,0,0,0,0,0
P5277,grade of kanji,78,78,75,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1576,lifestyle,79,79,70,0,1.4,ok,0,0,0,0,0,0,0,0,0
P4584,first appearance,81,81,81,0,2.2,ok,0,0,0,0,0,0,0,0,0
P40,child,81,81,56,0,8.3,ok,0,0,0,0,0,0,0,0,0
P177,crosses,80,80,64,0,3.1,ok,0,0,0,0,0,0,0,0,0
P1789,chief operating officer,84,84,71,0,1.1,ok,0,0,0,0,0,0,0,0,0
P400,platform,86,86,35,0,6.1,ok,0,0,0,0,0,0,0,0,0
P1855,Wikidata property example,92,92,57,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1981,FSK film rating,93,93,81,0,4.1,ok,0,0,0,0,0,0,0,0,0
P180,depicts,92,92,55,0,6.8,ok,0,0,0,0,0,0,0,0,0
P1923,participating team,95,95,10,0,2.7,ok,0,0,0,0,0,0,0,0,0
P306,operating system,78,78,48,0,3.1,ok,0,0,0,0,0,0,0,0,0
P437,distribution format,103,103,70,0,10.1,ok,0,0,0,0,0,0,0,0,0
P10135,recording date,104,104,104,0,2.0,ok,0,0,0,0,0,0,0,0,0
P185,doctoral student,86,86,49,0,5.0,ok,0,0,0,0,0,0,0,0,0
P10606,notable role,107,107,81,0,1.4,ok,0,0,0,0,0,0,0,0,0
P4424,mandates,109,109,109,0,1.2,ok,0,0,0,0,0,0,0,0,0
P135,movement,111,111,100,0,4.4,ok,0,0,0,0,0,0,0,0,0
P726,candidate,113,113,18,0,1.7,ok,0,0,0,0,0,0,0,0,0
P179,part of the series,114,114,113,0,14.3,ok,0,0,0,0,0,0,0,0,0
P6364,official color,117,117,60,0,1.5,ok,0,0,0,0,0,0,0,0,0
P3842,located in the present-day administrative territorial entity,121,121,109,0,1.9,ok,0,0,0,0,0,0,0,0,0
P2754,production date,123,123,116,0,1.7,ok,0,0,0,0,0,0,0,0,0
P3721,public key fingerprint,127,124,61,0,1.5,ok,0,0,0,0,0,0,0,0,0
P360,is a list of,131,131,130,0,6.3,ok,0,0,0,0,0,0,0,0,0
P408,software engine,106,106,64,0,2.4,ok,0,0,0,0,0,0,0,0,0
P3018,located in protected area,135,135,116,0,3.5,ok,0,0,0,0,0,0,0,0,0
P2238,official symbol,141,141,50,0,1.4,ok,0,0,0,0,0,0,0,0,0
P1321,municipal affiliation of a Swiss national,147,147,131,0,2.6,ok,0,0,0,0,0,0,0,0,0
P5460,grants,147,147,96,0,1.5,ok,0,0,0,0,0,0,0,0,0
P13773,LSF rating,154,154,154,0,1.7,ok,0,0,0,0,0,0,0,0,0
P1142,political ideology,143,143,90,0,3.8,ok,0,0,0,0,0,0,0,0,0
P483,recorded at studio or venue,161,161,156,0,1.9,ok,0,0,0,0,0,0,0,0,0
P5816,state of conservation,167,167,159,0,5.3,ok,0,0,0,0,0,0,0,0,0
P1971,number of children,176,176,146,0,4.8,ok,0,0,0,0,0,0,0,0,0
P7936,business model,182,182,181,0,1.7,ok,0,0,0,0,0,0,0,0,0
P452,industry,188,188,130,0,8.1,ok,0,0,0,0,0,0,0,0,0
P1347,military casualty classification,193,193,189,0,2.5,ok,0,0,0,0,0,0,0,0,0
P7256,computer performance,198,198,96,0,1.8,ok,0,0,0,0,0,0,0,0,0
P1350,number of matches played/races/starts,200,200,200,0,3.4,ok,0,0,0,0,0,0,0,0,0
P1433,published in,209,203,156,0,11.3,ok,0,0,0,0,0,0,0,0,0
P9866,GRAC rating,199,199,188,0,1.2,ok,0,0,0,0,0,0,0,0,0
P473,local dialing code,207,207,109,0,6.8,ok,0,0,0,0,0,0,0,0,0
P553,website account on,207,207,143,0,1.9,ok,0,0,0,0,0,0,0,0,0
P6658,RCQ classification,229,229,228,0,1.5,ok,0,0,0,0,0,0,0,0,0
P9683,Qualis rank,250,250,225,0,1.2,ok,0,0,0,0,0,0,0,0,0
P485,archives at,262,262,252,0,6.6,ok,0,0,0,0,0,0,0,0,0
P841,feast day,272,272,240,0,2.6,ok,0,0,0,0,0,0,0,0,0
P7261,use restriction status,300,300,300,0,1.5,ok,0,0,0,0,0,0,0,0,0
P7327,OFLC classification,235,235,206,0,1.7,ok,0,0,0,0,0,0,0,0,0
P1389,product certification,316,316,265,0,1.9,ok,0,0,0,0,0,0,0,0,0
P3761,IPv4 routing prefix,320,320,179,0,2.1,ok,0,0,0,0,0,0,0,0,0
P112,founder,324,324,244,0,16.0,ok,0,0,0,0,0,0,0,0,0
P5595,number of platform faces,248,248,224,0,2.4,ok,0,0,0,0,0,0,0,0,0
P2789,connects with,333,333,219,0,5.1,ok,0,0,0,0,0,0,0,0,0
P3461,designated as terrorist by,343,343,194,0,1.5,ok,0,0,0,0,0,0,0,0,0
P4330,contains,361,361,36,0,2.1,ok,0,0,0,0,0,0,0,0,0
P1093,gross tonnage,366,366,354,0,2.3,ok,0,0,0,0,0,0,0,0,0
P53,family,377,377,328,0,7.4,ok,0,0,0,0,0,0,0,0,0
P1383,contains settlement,379,379,172,0,2.7,ok,0,0,0,0,0,0,0,0,0
P7532,room number,392,392,378,0,1.5,ok,0,0,0,0,0,0,0,0,0
P2652,partnership with,437,435,255,0,2.2,ok,0,0,0,0,0,0,0,0,0
P13210,organisation tax status,479,479,477,0,2.9,ok,0,0,0,0,0,0,0,0,0
P1317,floruit,547,547,509,0,5.3,ok,0,0,0,0,0,0,0,0,0
P2176,drug or therapy used for treatment,599,599,287,0,1.6,ok,0,0,0,0,0,0,0,0,0
P395,vehicle registration plate code,610,610,478,0,5.0,ok,0,0,0,0,0,0,0,0,0
P1192,connecting service,657,657,455,0,3.8,ok,0,0,0,0,0,0,0,0,0
P2175,medical condition treated,671,671,435,0,2.0,ok,0,0,0,0,0,0,0,0,0
P2670,has part(s) of the class,676,676,327,0,4.6,ok,0,0,0,0,0,0,0,0,0
P6216,copyright status,746,746,707,0,11.4,ok,0,0,0,0,0,0,0,0,0
P8875,indexed in bibliographic review,747,747,729,0,2.7,ok,0,0,0,0,0,0,0,0,0
P1365,replaces,785,785,563,0,8.4,ok,0,0,0,0,0,0,0,0,0
P2629,BBFC rating,871,871,706,0,2.2,ok,0,0,0,0,0,0,0,0,0
P7763,copyright status as a creator,1113,1113,1109,0,11.9,ok,0,0,0,0,0,0,0,0,0
P530,diplomatic relation,1144,1140,199,0,2.4,ok,0,0,0,0,0,0,0,0,0
P1000,record held,1161,1161,643,0,2.1,ok,0,0,0,0,0,0,0,0,0
P6954,online access status,1250,1250,1244,0,4.3,ok,0,0,0,0,0,0,0,0,0
P4044,therapeutic area,1313,1313,840,0,1.8,ok,0,0,0,0,0,0,0,0,0
P7228,access restriction status,1542,1542,1539,0,6.5,ok,0,0,0,0,0,0,0,0,0
P914,USK rating,1513,1513,974,0,3.2,ok,0,0,0,0,0,0,0,0,0
P4131,annual energy output,1758,1758,1757,0,2.3,ok,0,0,0,0,0,0,0,0,0
P275,copyright license,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P6509,total goals in career,3338,3338,3332,0,4.2,ok,0,0,0,0,0,0,0,0,0
P3259,intangible cultural heritage status,3545,3545,3096,0,2.7,ok,0,0,0,0,0,0,0,0,0
P5991,carbon footprint,4102,4102,276,0,2.6,ok,0,0,0,0,0,0,0,0,0
P5514,accredited by,4966,4966,4280,0,3.1,ok,0,0,0,0,0,0,0,0,0
P150,contains the administrative territorial entity,10733,10716,1079,0,14.1,ok,0,0,0,0,0,0,0,0,0
P190,twinned administrative body,17510,17510,5769,0,6.6,ok,0,0,0,0,0,0,0,0,0
P69,educated at,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P108,employer,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P131,located in the administrative territorial entity,0,,,0,,fail,0,0,0,0,0,0,0,0,0
P2962,title of chess person,33392,33392,24158,0,7.2,ok,0,0,0,0,0,0,0,0,0
P19,place of birth,4,4,4,0,13.6,ok,0,0,0,0,0,0,0,0,0
P20,place of death,6,6,6,0,9.4,ok,0,0,0,0,0,0,0,0,0
P21,sex or gender,85,85,70,0,10.7,ok,0,0,0,0,0,0,0,0,0
P22,father,29,29,28,0,10.2,ok,0,0,0,0,0,0,0,0,0
P59,constellation,0,0,0,0,8.3,ok,0,0,0,0,0,0,0,0,0
P105,taxon rank,5,5,4,0,10.1,ok,0,0,0,0,0,0,0,0,0
P136,genre,71,71,46,0,10.1,ok,0,0,0,0,0,0,0,0,0
P171,parent taxon,2,2,2,0,10.8,ok,0,0,0,0,0,0,0,0,0
P225,taxon name,1,1,1,0,9.5,ok,0,0,0,0,0,0,0,0,0
P304,page(s),2,2,1,0,27.4,ok,0,0,0,0,0,0,0,0,0
P373,Commons category,47,47,41,0,13.2,ok,0,0,0,0,0,0,0,0,0
P407,language of work or name,297,297,137,0,12.0,ok,0,0,0,0,0,0,0,0,0
P569,date of birth,12,12,11,0,15.9,ok,0,0,0,0,0,0,0,0,0
P570,date of death,12,12,12,0,12.1,ok,0,0,0,0,0,0,0,0,0
P577,publication date,6041,6041,6021,0,14.4,ok,0,0,0,0,0,0,0,0,0
P880,CPU,4,4,2,0,1.6,ok,0,0,0,0,0,0,0,0,0
P971,category combines topics,0,0,0,0,11.6,ok,0,0,0,0,0,0,0,0,0
P1082,population,69,69,67,0,12.6,ok,0,0,0,0,0,0,0,0,0
P1215,apparent magnitude,0,0,0,0,12.1,ok,0,0,0,0,0,0,0,0,0
P1412,"languages spoken, written or signed",148,148,138,0,11.6,ok,0,0,0,0,0,0,0,0,0
P1456,list of monuments,0,0,0,0,3.3,ok,0,0,0,0,0,0,0,0,0
P1464,category for people born here,3,3,3,0,5.1,ok,0,0,0,0,0,0,0,0,0
P1814,name in kana,31,31,21,0,5.0,ok,0,0,0,0,0,0,0,0,0
P2214,parallax,0,0,0,0,9.2,ok,0,0,0,0,0,0,0,0,0
P2216,radial velocity,0,0,0,0,12.3,ok,0,0,0,0,0,0,0,0,0
P2403,total assets,1,1,1,0,2.7,ok,0,0,0,0,0,0,0,0,0
P2583,distance from Earth,0,0,0,0,10.0,ok,0,0,0,0,0,0,0,0,0
P2964,right to vote,4,4,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P5008,on focus list of Wikimedia project,3524,3524,3523,0,21.6,ok,0,0,0,0,0,0,0,0,0
P6257,right ascension,0,,0,0,11.4,ok,0,0,0,0,0,0,0,0,0
P6258,declination,0,0,0,0,9.4,ok,0,0,0,0,0,0,0,0,0
P6259,epoch,0,0,0,0,10.2,ok,0,0,0,0,0,0,0,0,0
P6524,expression of,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6529,provisional house number,0,0,0,0,1.1,ok,0,0,0,0,0,0,0,0,0
P10751,declination component of proper motion,0,0,0,0,9.3,ok,0,0,0,0,0,0,0,0,0
P10752,right ascension component of proper motion,0,0,0,0,8.5,ok,0,0,0,0,0,0,0,0,0
P12621,beneficial owner,6,6,5,0,1.1,ok,0,0,0,0,0,0,0,0,0
